	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV672	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Clausia trichosepala chloroplast, complete genome"	Order_Chloroplast
ASV673	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter		"Uncultured bacterium clone A494_Bac19 16S ribosomal RNA gene, partial sequence"	Limnobacter
ASV674	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV675	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV676	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Order_Rhizobiales	Order_Rhizobiales		"Mesorhizobium sp. strain Alpha-39 16S ribosomal RNA gene, partial sequence"	Order_Rhizobiales
ASV677	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus		"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV678	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV679	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella		"Uncultured bacterium clone 2465 16S ribosomal RNA gene, partial sequence"	Candidatus Berkiella
ASV680	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain DPC7235 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV681	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium		"Bradyrhizobium sp. SO-263 gene for 16S ribosomal RNA, partial sequence"	Bradyrhizobium
ASV682	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV683	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32		uncultured bacterium partial 16S rRNA gene	oc32
ASV684	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anaerobacillus		"Bacillus alkalisediminis strain NB56 16S ribosomal RNA gene, partial sequence"	Anaerobacillus
ASV685	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium clone A1724 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV686	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV687	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Order_Planctomycetales	Order_Planctomycetales		"Uncultured bacterium clone OTU_3508 16S ribosomal RNA gene, partial sequence"	Order_Planctomycetales
ASV688	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia		"Uncultured Devosia sp. clone 2A-1_OTU-14B 16S ribosomal RNA gene, partial sequence"	Devosia
ASV689	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter		"Uncultured bacterium clone 30313 16S ribosomal RNA gene, partial sequence"	Modestobacter
ASV690	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium		"Uncultured bacterium clone 16140 16S ribosomal RNA gene, partial sequence"	Acidiphilium
ASV691	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV692	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora		"Saccharopolyspora coralli strain E2A chromosome, complete genome"	Saccharopolyspora
ASV693	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Luffa aegyptiaca 18S ribosomal RNA gene, partial sequence; mitochondrial"	Family_Mitochondria
ASV694	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV695	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium		"Mesorhizobium sp. strain Alpha-39 16S ribosomal RNA gene, partial sequence"	Mesorhizobium
ASV696	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella		"Uncultured bacterium clone aab27h02 16S ribosomal RNA gene, partial sequence"	Escherichia-Shigella
ASV697	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas putida strain CSR-D-9 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV698	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Pseudacidovorax sp. strain UFLA_294 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV699	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium clone A1724 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV700	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		"Streptococcus parasuis strain YN180721 16S ribosomal RNA gene, partial sequence"	Streptococcus
ASV701	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV702	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	parvum	"Uncultured bacterium YK1B-079 gene for 16S ribosomal RNA, partial sequence"	Undibacterium
ASV703	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Family_Beijerinckiaceae		"Uncultured prokaryote clone Illumina_2357 16S ribosomal RNA gene, partial sequence"	Family_Beijerinckiaceae
ASV704	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV705	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		"Uncultured bacterium clone A238 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV706	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV707	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Family_Bacillaceae		"Bacillus litoralis strain P7 16S ribosomal RNA gene, partial sequence"	Family_Bacillaceae
ASV708	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV709	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter		"Intrasporangiaceae bacterium strain L34 16S ribosomal RNA gene, partial sequence"	Sanguibacter
ASV710	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV711	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV712	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV713	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium		"Uncultured bacterium clone A65 16S ribosomal RNA gene, partial sequence"	Brevibacterium
ASV714	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus sp. B7_2BO2 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV715	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Family_AKIW781		"Uncultured bacterium clone Adulam-47 16S ribosomal RNA gene, partial sequence"	Family_AKIW781
ASV716	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured actinobacterium clone C37 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV717	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV718	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter johnsonii strain cqsV8 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV719	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV720	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Diaphorobacter sp. HDW4A chromosome, complete genome"	Family_Comamonadaceae
ASV721	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 10		"Uncultured bacterium clone OEH24_24 16S ribosomal RNA gene, partial sequence"	Clostridium sensu stricto 10
ASV722	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum		"Uncultured bacterium clone Ll142-2K4 16S ribosomal RNA gene, partial sequence"	Proteiniclasticum
ASV723	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. strain YMA_23 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV724	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV725	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	cf.	"Lachnoanaerobaculum sp. strain KCOM 3230 (=JS337) 16S ribosomal RNA gene, partial sequence"	Lachnoanaerobaculum
ASV726	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium		"Uncultured bacterium clone 16S(V3-V4)-437 16S ribosomal RNA gene, partial sequence"	Brevibacterium
ASV727	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	Family_env.OPS 17		"Uncultured bacterium clone OTU49 16S ribosomal RNA gene, partial sequence"	Family_env.OPS 17
ASV728	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		"Uncultured bacterium clone OTU_372 16S ribosomal RNA gene, partial sequence"	Microvirga
ASV729	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV730	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella		"Uncultured bacterium clone A1847 16S ribosomal RNA gene, partial sequence"	Nakamurella
ASV731	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia		"Uncultured microorganism clone uncultured_Comamonas_sp._OTU1220 16S ribosomal RNA gene, partial sequence"	Ottowia
ASV732	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter		"Uncultured bacterium clone ASV4 16S ribosomal RNA gene, partial sequence"	Pajaroellobacter
ASV733	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		"Sediminibacterium sp. strain WSJ-3 16S ribosomal RNA gene, partial sequence"	Sediminibacterium
ASV734	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter		"Uncultured bacterium clone ASV29 16S ribosomal RNA gene, partial sequence"	Caulobacter
ASV735	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas		"Stenotrophomonas sp. strain Y 16S ribosomal RNA gene, partial sequence"	Stenotrophomonas
ASV736	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	alpinus	"Uncultured actinobacterium partial 16S rRNA gene, clone 4D-05-C11"	Nocardioides
ASV737	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Uncultured Corynebacterium sp. clone N-04 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV738	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV739	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV740	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Family_Acetobacteraceae		"Uncultured prokaryote clone Illumina_2323 16S ribosomal RNA gene, partial sequence"	Family_Acetobacteraceae
ASV741	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Family_Isosphaeraceae		"Uncultured endolithic bacterium gene for 16S rRNA, partial sequence, clone: EM_02_BAC"	Family_Isosphaeraceae
ASV742	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV743	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV744	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		"Streptomyces sp. strain PKS25 16S ribosomal RNA gene, partial sequence"	Streptomyces
ASV745	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		"Zoogloea sp. strain G-4-1-14 16S ribosomal RNA gene, partial sequence"	Zoogloea
ASV746	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	gilardii	"Cupriavidus gilardii strain FDAARGOS_639 chromosome 2, complete sequence"	Cupriavidus
ASV747	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV748	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylophilus		"Uncultured bacterium clone OTU_44 16S ribosomal RNA gene, partial sequence"	Methylophilus
ASV749	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Corynebacterium xerosis strain BP1 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV750	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter		"Uncultured bacterium clone 2007WL_16S_OTU_1569 16S ribosomal RNA gene, partial sequence"	Dinghuibacter
ASV751	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV752	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Family_Enterobacteriaceae		"Phaseolibacter flectens strain T7F1(3) 16S ribosomal RNA gene, partial sequence"	Family_Enterobacteriaceae
ASV753	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc		"Leuconostoc mesenteroides strain 1885 16S ribosomal RNA gene, partial sequence"	Leuconostoc
ASV754	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV755	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Family_Carnobacteriaceae		"Trichococcus flocculiformis strain NO16 16S ribosomal RNA gene, partial sequence"	Family_Carnobacteriaceae
ASV756	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Family_AKIW781		"Uncultured bacterium clone denovo1391 16S ribosomal RNA gene, partial sequence"	Family_AKIW781
ASV757	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV758	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis		"Uncultured bacterium clone 2859 16S ribosomal RNA gene, partial sequence"	Phaselicystis
ASV759	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV760	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Libidibia coriaria mitochondrion, complete genome"	Family_Mitochondria
ASV761	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus		"Anoxybacillus rupiensis strain 4Cx 16S ribosomal RNA gene, partial sequence"	Anoxybacillus
ASV762	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella		"Gemella morbillorum strain KCOM 3366 (=ChDC P010-3) 16S ribosomal RNA gene, partial sequence"	Gemella
ASV763	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter		"Uncultured bacterium YK1B-184 gene for 16S ribosomal RNA, partial sequence"	Piscinibacter
ASV764	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		"Uncultured bacterium clone AD507 16S ribosomal RNA gene, partial sequence"	Aquabacterium
ASV765	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV766	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV767	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter		"Uncultured bacterium clone 34MIC002 16S ribosomal RNA gene, partial sequence"	Aminobacter
ASV768	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV769	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	hispanicum	uncultured bacterium partial 16S rRNA gene	Chryseobacterium
ASV770	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV771	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		"Uncultured bacterium clone OTU_198 16S ribosomal RNA gene, partial sequence"	Pirellula
ASV772	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus ozensis JCM 17196 gene for 16S rRNA, partial sequence"	Lactobacillus
ASV773	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Family_Rhodobacteraceae		"Uncultured bacterium clone E4C10_150438 16S ribosomal RNA gene, partial sequence"	Family_Rhodobacteraceae
ASV774	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV775	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Family_Pirellulaceae		"Uncultured bacterium clone aab55f08 16S ribosomal RNA gene, partial sequence"	Family_Pirellulaceae
ASV776	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured eukaryote clone ncd112a08c1 16S ribosomal RNA gene, partial sequence; plastid"	Order_Chloroplast
ASV777	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV778	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium		"Bradyrhizobium sp. SO-263 gene for 16S ribosomal RNA, partial sequence"	Bradyrhizobium
ASV779	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		"Uncultured bacterium OTU:AB_RSPSW_MFC0785 gene for 16S rRNA, partial sequence"	Microvirga
ASV780	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		"Sphingobium sp. Ri1Ps_4739 gene for 16S rRNA, partial sequence"	Sphingobium
ASV781	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	stationis	"Uncultured bacterium clone 16S(V3-V4)-435 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV782	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV783	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV784	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus		"Paenibacillus polymyxa strain Pp-HG15-7 16S ribosomal RNA gene, partial sequence"	Paenibacillus
ASV785	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea		"Uncultured bacterium clone A1324 16S ribosomal RNA gene, partial sequence"	Bellilinea
ASV786	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1		"Clostridium celatum G085 gene for 16S ribosomal RNA, partial sequence"	Clostridium sensu stricto 1
ASV787	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus		"Blastococcus sp. strain SYSU_D00922 16S ribosomal RNA gene, partial sequence"	Blastococcus
ASV788	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV789	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		"Curvibacter sp. strain SRS-179-F-2019 16S ribosomal RNA gene, partial sequence"	Curvibacter
ASV790	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus		"Uncultured bacterium clone Native-B21-D_A6 16S ribosomal RNA gene, partial sequence"	Microlunatus
ASV791	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV792	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora		"Actinomycetospora sp. BA-106 gene for 16S ribosomal RNA, partial sequence"	Actinomycetospora
ASV793	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus		"Uncultured bacterium clone 16S(V3-V4)-49 16S ribosomal RNA gene, partial sequence"	Jeotgalicoccus
ASV794	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Hydrogenophaga sp. Ri2Pw_6039 gene for 16S rRNA, partial sequence"	Family_Comamonadaceae
ASV795	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Uncultured bacterium clone OTU_15 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV796	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	Order_B12-WMSP1	Order_B12-WMSP1		"Uncultured prokaryote clone OTU_5165 16S ribosomal RNA gene, partial sequence"	Order_B12-WMSP1
ASV797	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		"Bacillus sp. (in: Bacteria) strain IC-1C2 16S ribosomal RNA gene, partial sequence"	Bacillus
ASV798	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Xanthoceras sorbifolium mitochondrion, complete genome"	Family_Mitochondria
ASV799	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas		"Uncultured bacterium clone OTU_15 16S ribosomal RNA gene, partial sequence"	Pelomonas
ASV800	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Family_Gemmataceae		"Uncultured Planctomycetaceae bacterium clone OTU_35 16S ribosomal RNA gene, partial sequence"	Family_Gemmataceae
ASV801	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus		"Trichococcus flocculiformis strain NO16 16S ribosomal RNA gene, partial sequence"	Trichococcus
ASV802	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Family_Caulobacteraceae		"Uncultured bacterium clone ASBud30 16S ribosomal RNA gene, partial sequence"	Family_Caulobacteraceae
ASV803	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Gynoxys mandonii isolate SEN04 voucher B:DB27409 plastid, complete genome"	Order_Chloroplast
ASV804	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum		"Herbaspirillum sp. strain SYSU_D00259 16S ribosomal RNA gene, partial sequence"	Herbaspirillum
ASV805	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV806	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV807	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV808	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus sp. B7_2BO2 16S ribosomal RNA gene, partial sequence"	Fructobacillus
